Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
17,48.0,50.0,50.0,55.0,58.0,47.0,53.0,53.0,53.0,53.0,53.0,53.0,57.0,52.0,49.0,53.0,53.0,54.0,53.0,54.0,51.0,53.0,52.0,53.0,56.0,53.0,47.0,51.0,49.0,50.0,55.0,50.0,50.0,50.0,49.0,54.0,57.0,52.0,56.0,53.0,52.3,2.629
18,47.0,50.0,50.0,55.0,57.0,46.0,53.0,53.0,53.0,52.0,53.0,53.0,56.0,52.0,49.0,53.0,53.0,53.0,53.0,54.0,51.0,51.0,52.0,53.0,56.0,53.0,47.0,51.0,48.0,50.0,55.0,50.0,50.0,50.0,49.0,50.0,57.0,52.0,56.0,53.0,51.975,2.66
19,46.0,50.0,50.0,55.0,57.0,45.0,53.0,53.0,53.0,51.0,52.0,53.0,55.0,52.0,49.0,53.0,53.0,51.0,53.0,53.0,51.0,51.0,52.0,53.0,56.0,51.0,47.0,51.0,48.0,50.0,51.0,50.0,50.0,50.0,49.0,47.0,57.0,52.0,56.0,53.0,51.55,2.747
20,46.0,50.0,50.0,55.0,55.0,45.0,53.0,53.0,53.0,50.0,50.0,53.0,55.0,52.0,47.0,53.0,53.0,51.0,52.0,53.0,51.0,51.0,52.0,52.0,54.0,51.0,47.0,50.0,48.0,50.0,51.0,50.0,50.0,50.0,49.0,47.0,55.0,52.0,56.0,53.0,51.2,2.571
21,42.0,50.0,50.0,55.0,55.0,45.0,52.0,53.0,53.0,50.0,50.0,53.0,55.0,52.0,47.0,53.0,53.0,51.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,51.0,47.0,50.0,46.0,50.0,51.0,50.0,50.0,50.0,49.0,47.0,55.0,50.0,56.0,53.0,50.95,2.872
22,42.0,50.0,50.0,55.0,55.0,45.0,52.0,53.0,53.0,50.0,50.0,53.0,55.0,52.0,46.0,53.0,52.0,51.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,50.0,47.0,49.0,46.0,50.0,51.0,50.0,50.0,50.0,49.0,47.0,55.0,50.0,56.0,53.0,50.85,2.912
23,42.0,50.0,50.0,55.0,53.0,45.0,52.0,53.0,53.0,50.0,50.0,53.0,55.0,52.0,46.0,53.0,51.0,51.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,50.0,47.0,49.0,46.0,50.0,51.0,50.0,50.0,49.0,49.0,44.0,54.0,50.0,56.0,53.0,50.65,2.963
24,42.0,50.0,50.0,55.0,53.0,45.0,52.0,53.0,53.0,50.0,50.0,53.0,53.0,52.0,46.0,53.0,49.0,51.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,47.0,47.0,48.0,46.0,50.0,51.0,50.0,50.0,49.0,49.0,44.0,54.0,50.0,56.0,53.0,50.45,2.983
25,42.0,49.0,50.0,55.0,53.0,43.0,52.0,53.0,53.0,49.0,50.0,53.0,53.0,52.0,46.0,53.0,49.0,51.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,47.0,47.0,47.0,46.0,49.0,51.0,50.0,50.0,48.0,49.0,44.0,54.0,50.0,56.0,53.0,50.275,3.146
26,42.0,49.0,49.0,55.0,53.0,43.0,52.0,53.0,53.0,49.0,50.0,53.0,53.0,52.0,46.0,53.0,49.0,51.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,47.0,47.0,47.0,46.0,49.0,51.0,50.0,50.0,48.0,49.0,44.0,54.0,50.0,56.0,53.0,50.25,3.152
