Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
17,63.0,64.0,63.0,63.0,62.0,62.0,61.0,62.0,64.0,64.0,63.0,62.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,61.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,65.0,59.0,65.0,62.525,1.597
18,63.0,64.0,63.0,63.0,62.0,62.0,61.0,62.0,63.0,64.0,63.0,62.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,65.0,59.0,65.0,62.45,1.658
19,63.0,62.0,62.0,63.0,62.0,62.0,61.0,62.0,63.0,64.0,63.0,62.0,64.0,63.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,65.0,59.0,65.0,62.3,1.536
20,63.0,62.0,62.0,63.0,62.0,62.0,61.0,62.0,63.0,64.0,63.0,62.0,64.0,63.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,65.0,59.0,65.0,62.3,1.536
21,63.0,62.0,62.0,63.0,62.0,62.0,61.0,62.0,63.0,64.0,63.0,62.0,64.0,63.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,65.0,59.0,65.0,62.3,1.536
22,63.0,62.0,62.0,63.0,62.0,62.0,61.0,62.0,63.0,64.0,63.0,62.0,64.0,63.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,64.0,59.0,65.0,62.275,1.5
23,63.0,62.0,62.0,63.0,62.0,62.0,61.0,62.0,63.0,64.0,63.0,62.0,64.0,63.0,63.0,63.0,63.0,61.0,64.0,61.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,63.0,59.0,65.0,62.225,1.491
24,63.0,62.0,62.0,63.0,62.0,62.0,61.0,62.0,63.0,64.0,63.0,62.0,64.0,63.0,63.0,63.0,63.0,61.0,64.0,61.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,63.0,59.0,65.0,62.225,1.491
25,62.0,62.0,62.0,63.0,62.0,62.0,61.0,61.0,63.0,64.0,63.0,62.0,64.0,63.0,63.0,63.0,63.0,61.0,64.0,61.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,62.0,61.0,63.0,62.0,63.0,59.0,65.0,62.15,1.492
26,62.0,62.0,62.0,61.0,62.0,62.0,61.0,61.0,63.0,64.0,63.0,62.0,64.0,61.0,63.0,63.0,63.0,61.0,63.0,61.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,59.0,61.0,60.0,62.0,61.0,63.0,62.0,63.0,59.0,65.0,61.9,1.513
