Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
19,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,58.0,56.0,56.0,57.0,53.0,57.0,59.0,58.0,56.0,56.0,56.0,59.0,56.0,57.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,57.0,55.0,55.85,1.621
20,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,58.0,56.0,55.0,57.0,53.0,57.0,59.0,58.0,56.0,56.0,56.0,59.0,56.0,57.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,57.0,55.0,55.825,1.626
21,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,58.0,56.0,55.0,57.0,53.0,57.0,59.0,58.0,56.0,56.0,56.0,59.0,56.0,57.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,57.0,55.0,55.825,1.626
22,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,58.0,56.0,55.0,57.0,53.0,57.0,59.0,58.0,56.0,56.0,56.0,59.0,56.0,57.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,57.0,55.0,55.825,1.626
23,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,58.0,56.0,55.0,57.0,53.0,57.0,59.0,58.0,56.0,56.0,56.0,59.0,56.0,52.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,57.0,55.0,55.7,1.72
24,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,58.0,56.0,55.0,57.0,53.0,57.0,59.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,57.0,55.0,55.675,1.723
25,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,56.0,56.0,55.0,57.0,53.0,57.0,58.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,57.0,55.0,55.6,1.64
26,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,56.0,56.0,55.0,57.0,52.0,57.0,58.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,55.55,1.673
27,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,56.0,56.0,55.0,57.0,52.0,57.0,58.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,56.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,55.55,1.673
28,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,56.0,56.0,55.0,57.0,52.0,57.0,57.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,55.475,1.658
29,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,56.0,56.0,55.0,57.0,52.0,57.0,57.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,55.475,1.658
30,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,58.0,53.0,56.0,52.0,56.0,56.0,55.0,57.0,52.0,57.0,57.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,55.475,1.658
31,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,56.0,53.0,56.0,52.0,56.0,55.0,55.0,57.0,52.0,57.0,57.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,55.4,1.609
32,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,54.0,56.0,53.0,56.0,52.0,56.0,55.0,55.0,57.0,52.0,57.0,57.0,58.0,56.0,55.0,56.0,59.0,56.0,52.0,56.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,55.4,1.609
33,58.0,54.0,54.0,56.0,57.0,53.0,56.0,54.0,55.0,53.0,56.0,53.0,56.0,52.0,55.0,55.0,55.0,57.0,52.0,57.0,57.0,58.0,56.0,55.0,56.0,57.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,55.0,56.0,56.0,55.0,55.25,1.545
34,58.0,54.0,54.0,56.0,57.0,51.0,56.0,54.0,55.0,53.0,56.0,53.0,56.0,52.0,55.0,55.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,57.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,54.0,56.0,56.0,55.0,55.15,1.636
35,58.0,54.0,53.0,56.0,57.0,51.0,56.0,54.0,55.0,53.0,56.0,53.0,56.0,52.0,55.0,55.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,57.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,54.0,56.0,56.0,55.0,55.125,1.661
36,58.0,54.0,53.0,56.0,57.0,51.0,56.0,54.0,55.0,53.0,56.0,53.0,56.0,52.0,55.0,55.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,57.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,54.0,56.0,56.0,55.0,55.125,1.661
37,58.0,54.0,53.0,56.0,57.0,51.0,54.0,54.0,55.0,53.0,56.0,53.0,56.0,52.0,55.0,55.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,57.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,55.05,1.658
38,58.0,54.0,53.0,56.0,57.0,51.0,54.0,54.0,55.0,53.0,56.0,53.0,56.0,52.0,55.0,55.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,57.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,55.05,1.658
39,58.0,54.0,53.0,56.0,57.0,51.0,54.0,54.0,55.0,53.0,56.0,53.0,56.0,52.0,55.0,55.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,57.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,55.05,1.658
40,58.0,54.0,53.0,56.0,57.0,51.0,54.0,54.0,54.0,53.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.95,1.642
41,58.0,54.0,53.0,56.0,57.0,51.0,54.0,54.0,54.0,53.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,55.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.95,1.642
42,58.0,54.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,53.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.725,1.949
43,58.0,54.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.675,2.017
44,58.0,54.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.675,2.017
