Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
15,58.0,55.0,58.0,54.0,55.0,59.0,56.0,55.0,56.0,52.0,58.0,59.0,57.0,59.0,57.0,59.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,58.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,57.0,54.0,53.0,56.0,60.0,58.0,58.0,56.0,52.0,56.4,2.332
16,58.0,55.0,58.0,54.0,55.0,59.0,56.0,55.0,56.0,52.0,58.0,59.0,57.0,59.0,57.0,59.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,58.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,57.0,54.0,53.0,56.0,60.0,58.0,58.0,56.0,52.0,56.4,2.332
17,58.0,55.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,52.0,58.0,59.0,57.0,59.0,57.0,59.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,57.0,54.0,53.0,56.0,60.0,58.0,58.0,56.0,52.0,56.3,2.315
18,58.0,55.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,51.0,58.0,59.0,57.0,57.0,57.0,59.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,53.0,54.0,53.0,56.0,60.0,56.0,58.0,54.0,52.0,56.025,2.382
19,58.0,54.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,50.0,58.0,59.0,57.0,57.0,57.0,59.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,53.0,54.0,53.0,56.0,60.0,56.0,58.0,54.0,52.0,55.975,2.454
20,58.0,54.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,50.0,58.0,59.0,57.0,57.0,57.0,59.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,53.0,54.0,53.0,56.0,60.0,56.0,58.0,54.0,52.0,55.975,2.454
21,58.0,54.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,50.0,58.0,59.0,57.0,57.0,57.0,59.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,53.0,54.0,53.0,56.0,60.0,56.0,58.0,54.0,52.0,55.975,2.454
22,57.0,54.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,50.0,58.0,59.0,57.0,57.0,57.0,59.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,53.0,54.0,53.0,56.0,60.0,56.0,58.0,54.0,52.0,55.95,2.439
23,54.0,54.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,50.0,58.0,59.0,57.0,57.0,57.0,58.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,60.0,51.0,55.0,56.0,57.0,53.0,54.0,53.0,56.0,60.0,56.0,58.0,54.0,52.0,55.85,2.424
24,54.0,54.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,50.0,58.0,59.0,57.0,57.0,57.0,58.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,54.0,51.0,55.0,56.0,57.0,51.0,54.0,53.0,56.0,60.0,56.0,58.0,54.0,52.0,55.65,2.424
25,54.0,54.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,50.0,58.0,59.0,57.0,57.0,57.0,58.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,54.0,51.0,55.0,56.0,57.0,51.0,54.0,53.0,56.0,60.0,56.0,58.0,54.0,52.0,55.65,2.424
26,54.0,54.0,57.0,54.0,55.0,59.0,56.0,55.0,56.0,50.0,58.0,59.0,57.0,57.0,57.0,58.0,56.0,59.0,55.0,57.0,54.0,59.0,52.0,55.0,57.0,59.0,54.0,51.0,55.0,56.0,57.0,51.0,54.0,53.0,56.0,59.0,56.0,58.0,54.0,52.0,55.625,2.384
