Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
54,33.0,28.0,26.0,24.0,28.0,26.0,26.0,29.0,24.0,28.0,29.0,26.0,23.0,25.0,32.0,25.0,22.0,30.0,25.0,26.0,26.0,27.0,27.0,22.0,27.0,27.0,25.0,29.0,26.0,27.0,24.0,21.0,25.0,27.0,20.0,26.0,20.0,23.0,30.0,29.0,26.075,2.893
55,33.0,28.0,26.0,24.0,28.0,26.0,26.0,29.0,24.0,28.0,29.0,26.0,23.0,25.0,32.0,25.0,22.0,30.0,25.0,26.0,26.0,27.0,27.0,22.0,27.0,26.0,25.0,29.0,24.0,27.0,24.0,21.0,25.0,26.0,20.0,26.0,20.0,23.0,30.0,29.0,25.975,2.902
56,33.0,28.0,26.0,24.0,28.0,26.0,26.0,29.0,24.0,28.0,29.0,26.0,23.0,25.0,32.0,23.0,22.0,30.0,25.0,26.0,26.0,27.0,27.0,22.0,26.0,26.0,25.0,29.0,24.0,26.0,24.0,21.0,25.0,26.0,20.0,26.0,20.0,23.0,30.0,29.0,25.875,2.926
57,33.0,28.0,26.0,24.0,28.0,26.0,26.0,29.0,24.0,28.0,29.0,25.0,23.0,25.0,32.0,23.0,22.0,30.0,25.0,26.0,26.0,27.0,27.0,22.0,26.0,26.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,23.0,30.0,29.0,25.825,2.974
58,33.0,28.0,26.0,24.0,27.0,26.0,25.0,29.0,24.0,28.0,29.0,25.0,23.0,25.0,32.0,23.0,22.0,30.0,25.0,26.0,26.0,27.0,27.0,22.0,26.0,26.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,23.0,28.0,29.0,25.725,2.907
59,33.0,28.0,26.0,24.0,27.0,25.0,25.0,29.0,23.0,27.0,28.0,25.0,23.0,25.0,31.0,23.0,22.0,30.0,25.0,26.0,26.0,27.0,27.0,22.0,26.0,26.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,29.0,25.575,2.863
60,33.0,28.0,26.0,24.0,27.0,25.0,25.0,29.0,23.0,27.0,28.0,25.0,23.0,25.0,31.0,23.0,22.0,29.0,25.0,26.0,26.0,27.0,27.0,22.0,25.0,25.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,29.0,25.5,2.828
61,33.0,28.0,25.0,24.0,27.0,25.0,25.0,29.0,23.0,27.0,28.0,23.0,23.0,25.0,31.0,23.0,22.0,29.0,25.0,26.0,26.0,27.0,27.0,22.0,25.0,25.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,28.0,25.4,2.827
62,33.0,28.0,25.0,24.0,27.0,24.0,25.0,29.0,23.0,27.0,28.0,23.0,23.0,25.0,31.0,23.0,22.0,29.0,25.0,26.0,26.0,27.0,27.0,22.0,25.0,25.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,28.0,25.375,2.834
63,32.0,28.0,25.0,24.0,27.0,24.0,25.0,29.0,23.0,27.0,28.0,23.0,22.0,25.0,31.0,23.0,22.0,29.0,25.0,26.0,26.0,26.0,27.0,22.0,25.0,24.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,28.0,25.275,2.793
64,32.0,28.0,25.0,24.0,27.0,24.0,25.0,29.0,23.0,27.0,28.0,22.0,22.0,24.0,31.0,22.0,22.0,29.0,25.0,25.0,26.0,26.0,27.0,22.0,25.0,24.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,28.0,25.175,2.845
65,32.0,28.0,25.0,24.0,26.0,23.0,24.0,29.0,23.0,27.0,27.0,22.0,22.0,24.0,31.0,22.0,22.0,29.0,25.0,25.0,25.0,26.0,27.0,22.0,25.0,24.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,28.0,25.05,2.828
66,32.0,28.0,25.0,24.0,26.0,23.0,24.0,29.0,23.0,27.0,27.0,22.0,22.0,24.0,31.0,22.0,22.0,29.0,25.0,25.0,25.0,26.0,27.0,22.0,25.0,24.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,27.0,25.025,2.806
67,31.0,28.0,25.0,24.0,26.0,23.0,24.0,29.0,23.0,26.0,27.0,22.0,21.0,24.0,31.0,22.0,22.0,29.0,25.0,25.0,25.0,26.0,27.0,22.0,25.0,24.0,25.0,29.0,24.0,26.0,24.0,20.0,25.0,26.0,20.0,26.0,20.0,22.0,28.0,27.0,24.95,2.765
68,31.0,28.0,25.0,23.0,26.0,22.0,24.0,29.0,23.0,26.0,27.0,22.0,21.0,24.0,30.0,22.0,22.0,29.0,25.0,25.0,25.0,26.0,26.0,22.0,25.0,24.0,25.0,28.0,24.0,25.0,24.0,20.0,25.0,25.0,19.0,26.0,20.0,22.0,28.0,27.0,24.75,2.736
69,31.0,28.0,25.0,23.0,26.0,22.0,24.0,29.0,23.0,26.0,27.0,21.0,21.0,23.0,30.0,22.0,22.0,29.0,25.0,25.0,25.0,26.0,26.0,22.0,24.0,24.0,25.0,28.0,24.0,24.0,24.0,20.0,25.0,25.0,19.0,26.0,20.0,22.0,28.0,27.0,24.65,2.78
70,31.0,28.0,25.0,23.0,26.0,22.0,24.0,29.0,23.0,26.0,27.0,21.0,21.0,23.0,29.0,22.0,22.0,28.0,25.0,24.0,25.0,26.0,26.0,22.0,24.0,23.0,25.0,28.0,24.0,24.0,24.0,20.0,25.0,25.0,19.0,26.0,20.0,22.0,28.0,26.0,24.525,2.692
