Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
25,35.0,41.0,41.0,36.0,40.0,45.0,38.0,41.0,41.0,36.0,35.0,40.0,41.0,42.0,44.0,38.0,38.0,35.0,36.0,39.0,44.0,43.0,44.0,41.0,38.0,41.0,39.0,37.0,39.0,31.0,37.0,40.0,39.0,43.0,45.0,39.0,42.0,44.0,42.0,43.0,39.825,3.169
26,34.0,39.0,41.0,35.0,40.0,45.0,38.0,41.0,39.0,36.0,35.0,39.0,39.0,42.0,41.0,38.0,38.0,35.0,35.0,38.0,43.0,42.0,43.0,40.0,38.0,41.0,39.0,37.0,39.0,28.0,37.0,40.0,39.0,42.0,45.0,38.0,40.0,41.0,40.0,43.0,39.075,3.181
27,34.0,38.0,41.0,33.0,38.0,45.0,37.0,40.0,39.0,36.0,35.0,39.0,38.0,42.0,41.0,38.0,37.0,34.0,35.0,38.0,43.0,42.0,43.0,40.0,38.0,41.0,37.0,36.0,39.0,28.0,37.0,39.0,38.0,41.0,45.0,38.0,40.0,41.0,39.0,42.0,38.625,3.276
28,34.0,38.0,40.0,33.0,38.0,45.0,37.0,40.0,38.0,35.0,35.0,39.0,38.0,41.0,41.0,38.0,37.0,34.0,35.0,38.0,43.0,42.0,43.0,39.0,37.0,41.0,37.0,36.0,38.0,28.0,37.0,39.0,38.0,41.0,45.0,38.0,40.0,41.0,39.0,41.0,38.425,3.24
29,32.0,38.0,40.0,32.0,38.0,45.0,37.0,40.0,38.0,35.0,35.0,39.0,36.0,40.0,39.0,38.0,36.0,33.0,34.0,38.0,42.0,41.0,42.0,39.0,37.0,41.0,36.0,36.0,37.0,27.0,36.0,39.0,38.0,41.0,43.0,37.0,40.0,41.0,39.0,41.0,37.9,3.345
30,32.0,38.0,40.0,32.0,38.0,45.0,37.0,40.0,37.0,35.0,35.0,38.0,36.0,40.0,36.0,38.0,36.0,33.0,34.0,38.0,42.0,41.0,42.0,39.0,37.0,41.0,36.0,35.0,37.0,27.0,36.0,38.0,38.0,40.0,43.0,37.0,40.0,41.0,39.0,41.0,37.7,3.341
31,32.0,38.0,39.0,31.0,37.0,45.0,34.0,38.0,37.0,34.0,34.0,38.0,36.0,40.0,36.0,37.0,36.0,33.0,34.0,38.0,42.0,40.0,41.0,39.0,37.0,40.0,36.0,35.0,37.0,27.0,35.0,38.0,38.0,40.0,43.0,37.0,36.0,39.0,38.0,40.0,37.125,3.28
32,32.0,38.0,39.0,31.0,37.0,45.0,34.0,38.0,36.0,33.0,34.0,37.0,36.0,40.0,36.0,37.0,35.0,33.0,34.0,38.0,41.0,40.0,41.0,39.0,37.0,38.0,36.0,34.0,36.0,26.0,35.0,38.0,38.0,40.0,42.0,37.0,36.0,39.0,37.0,40.0,36.825,3.308
33,32.0,38.0,39.0,31.0,37.0,45.0,34.0,38.0,36.0,33.0,34.0,37.0,36.0,40.0,36.0,37.0,34.0,32.0,32.0,38.0,40.0,40.0,40.0,38.0,35.0,38.0,36.0,34.0,35.0,26.0,35.0,36.0,37.0,39.0,42.0,36.0,36.0,39.0,37.0,40.0,36.45,3.324
34,32.0,38.0,39.0,28.0,37.0,45.0,34.0,38.0,35.0,33.0,34.0,37.0,34.0,40.0,36.0,37.0,34.0,32.0,32.0,37.0,39.0,39.0,40.0,38.0,35.0,38.0,36.0,32.0,35.0,26.0,35.0,36.0,37.0,39.0,42.0,36.0,35.0,39.0,37.0,39.0,36.125,3.473
