Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,33.0,35.0,37.0,37.0,34.0,32.0,33.0,36.0,34.0,35.0,35.0,36.0,36.0,33.0,35.0,36.0,31.0,36.0,36.0,33.0,34.0,35.0,33.0,36.0,34.0,34.0,33.0,35.0,33.0,36.0,37.0,37.0,32.0,33.0,33.0,34.0,32.0,35.0,34.0,35.0,34.45,1.564
1,33.0,35.0,37.0,35.0,34.0,32.0,33.0,32.0,31.0,35.0,35.0,36.0,36.0,33.0,35.0,36.0,31.0,35.0,36.0,33.0,34.0,33.0,33.0,36.0,34.0,34.0,33.0,33.0,33.0,35.0,35.0,35.0,32.0,33.0,33.0,34.0,32.0,34.0,34.0,35.0,33.95,1.448
2,33.0,35.0,37.0,35.0,32.0,32.0,33.0,32.0,31.0,35.0,35.0,36.0,36.0,33.0,34.0,35.0,31.0,32.0,35.0,31.0,34.0,33.0,33.0,35.0,34.0,34.0,33.0,33.0,33.0,33.0,34.0,35.0,32.0,33.0,33.0,34.0,32.0,34.0,34.0,35.0,33.6,1.428
3,33.0,35.0,35.0,35.0,32.0,32.0,33.0,32.0,31.0,35.0,35.0,35.0,36.0,33.0,34.0,31.0,31.0,32.0,35.0,31.0,34.0,33.0,33.0,35.0,34.0,34.0,32.0,33.0,33.0,33.0,34.0,35.0,32.0,33.0,33.0,34.0,32.0,34.0,34.0,35.0,33.4,1.356
4,33.0,35.0,34.0,35.0,32.0,32.0,33.0,32.0,31.0,35.0,35.0,35.0,36.0,33.0,34.0,31.0,31.0,32.0,35.0,31.0,34.0,33.0,33.0,35.0,31.0,34.0,32.0,33.0,33.0,33.0,34.0,35.0,32.0,33.0,33.0,34.0,32.0,34.0,34.0,35.0,33.3,1.382
5,33.0,35.0,34.0,35.0,32.0,32.0,33.0,31.0,31.0,35.0,35.0,32.0,35.0,33.0,31.0,31.0,31.0,32.0,35.0,31.0,32.0,33.0,33.0,35.0,31.0,34.0,32.0,33.0,33.0,33.0,34.0,35.0,32.0,33.0,31.0,34.0,32.0,34.0,34.0,35.0,33.0,1.432
6,33.0,35.0,34.0,35.0,32.0,32.0,33.0,31.0,31.0,35.0,35.0,32.0,33.0,33.0,31.0,31.0,31.0,32.0,35.0,31.0,32.0,33.0,33.0,35.0,31.0,34.0,32.0,33.0,32.0,33.0,34.0,35.0,32.0,33.0,31.0,34.0,32.0,34.0,34.0,35.0,32.925,1.403
7,33.0,35.0,34.0,34.0,31.0,32.0,33.0,29.0,31.0,34.0,35.0,32.0,33.0,33.0,31.0,31.0,31.0,32.0,35.0,31.0,32.0,33.0,33.0,33.0,31.0,34.0,32.0,33.0,32.0,33.0,34.0,35.0,32.0,33.0,31.0,34.0,32.0,34.0,34.0,35.0,32.75,1.427
8,33.0,35.0,34.0,34.0,31.0,32.0,33.0,29.0,31.0,34.0,34.0,32.0,33.0,33.0,31.0,31.0,31.0,32.0,35.0,31.0,32.0,33.0,33.0,33.0,31.0,34.0,32.0,33.0,32.0,33.0,34.0,33.0,32.0,33.0,31.0,34.0,32.0,34.0,34.0,34.0,32.65,1.314
9,33.0,35.0,34.0,34.0,31.0,32.0,33.0,29.0,31.0,34.0,31.0,32.0,33.0,33.0,31.0,31.0,31.0,32.0,35.0,31.0,32.0,33.0,33.0,33.0,31.0,34.0,32.0,33.0,32.0,33.0,34.0,33.0,32.0,33.0,31.0,34.0,32.0,34.0,34.0,34.0,32.575,1.321
