Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,31.0,36.0,35.0,35.0,37.0,34.0,33.0,35.0,31.0,36.0,33.0,33.0,35.0,37.0,30.0,36.0,32.0,35.0,37.0,35.0,32.0,33.0,34.0,35.0,36.0,35.0,33.0,38.0,35.0,34.0,33.0,31.0,36.0,37.0,34.0,31.0,33.0,30.0,33.0,34.0,34.075,2.03
1,31.0,31.0,35.0,31.0,34.0,33.0,33.0,32.0,31.0,35.0,33.0,33.0,34.0,35.0,30.0,35.0,32.0,35.0,33.0,35.0,32.0,33.0,33.0,35.0,32.0,34.0,33.0,37.0,30.0,34.0,33.0,31.0,35.0,36.0,33.0,31.0,33.0,30.0,31.0,34.0,33.025,1.739
2,30.0,31.0,34.0,31.0,33.0,33.0,32.0,32.0,29.0,32.0,33.0,31.0,33.0,34.0,30.0,33.0,32.0,33.0,31.0,33.0,31.0,33.0,33.0,32.0,32.0,30.0,33.0,31.0,30.0,33.0,33.0,31.0,35.0,33.0,33.0,31.0,32.0,30.0,31.0,34.0,32.025,1.351
3,30.0,31.0,34.0,31.0,33.0,30.0,32.0,32.0,29.0,32.0,33.0,31.0,33.0,34.0,30.0,30.0,32.0,32.0,31.0,32.0,31.0,30.0,33.0,31.0,30.0,30.0,32.0,31.0,28.0,31.0,29.0,31.0,31.0,32.0,33.0,31.0,32.0,30.0,31.0,33.0,31.3,1.345
4,28.0,31.0,34.0,27.0,32.0,30.0,32.0,30.0,29.0,31.0,31.0,31.0,33.0,32.0,30.0,30.0,30.0,31.0,31.0,32.0,28.0,30.0,30.0,31.0,30.0,30.0,32.0,31.0,28.0,30.0,29.0,31.0,30.0,29.0,32.0,31.0,32.0,30.0,31.0,29.0,30.475,1.414
5,28.0,31.0,32.0,27.0,27.0,30.0,31.0,26.0,29.0,31.0,31.0,25.0,30.0,32.0,30.0,30.0,29.0,31.0,31.0,29.0,28.0,30.0,30.0,31.0,30.0,30.0,31.0,31.0,28.0,30.0,29.0,31.0,30.0,27.0,31.0,31.0,32.0,30.0,29.0,29.0,29.7,1.631
6,26.0,30.0,32.0,27.0,27.0,30.0,30.0,26.0,28.0,29.0,28.0,25.0,30.0,30.0,28.0,30.0,29.0,31.0,31.0,29.0,28.0,28.0,30.0,30.0,30.0,29.0,31.0,29.0,28.0,30.0,28.0,30.0,30.0,27.0,31.0,31.0,31.0,30.0,29.0,29.0,29.125,1.568
7,26.0,27.0,31.0,27.0,27.0,30.0,30.0,26.0,25.0,29.0,28.0,25.0,29.0,30.0,28.0,30.0,29.0,29.0,31.0,29.0,28.0,27.0,29.0,30.0,27.0,27.0,31.0,29.0,28.0,29.0,28.0,30.0,29.0,27.0,31.0,31.0,30.0,29.0,29.0,29.0,28.6,1.609
8,26.0,26.0,29.0,27.0,27.0,29.0,30.0,26.0,25.0,29.0,28.0,23.0,29.0,28.0,27.0,30.0,23.0,29.0,29.0,26.0,28.0,27.0,29.0,29.0,27.0,27.0,30.0,29.0,28.0,27.0,28.0,30.0,29.0,27.0,31.0,27.0,30.0,29.0,29.0,28.0,27.875,1.763
9,24.0,26.0,29.0,27.0,25.0,29.0,28.0,25.0,24.0,22.0,27.0,23.0,26.0,28.0,27.0,30.0,23.0,27.0,28.0,24.0,26.0,25.0,29.0,29.0,26.0,27.0,29.0,29.0,28.0,27.0,28.0,30.0,28.0,23.0,31.0,27.0,30.0,29.0,29.0,27.0,26.975,2.219
10,20.0,26.0,28.0,25.0,25.0,29.0,28.0,25.0,23.0,22.0,26.0,23.0,26.0,26.0,26.0,30.0,23.0,27.0,28.0,24.0,26.0,24.0,29.0,25.0,26.0,25.0,27.0,29.0,28.0,27.0,28.0,28.0,22.0,23.0,30.0,27.0,29.0,26.0,28.0,27.0,26.1,2.332
11,20.0,26.0,28.0,24.0,25.0,27.0,25.0,25.0,22.0,22.0,21.0,20.0,26.0,24.0,24.0,28.0,23.0,26.0,25.0,24.0,23.0,23.0,28.0,25.0,25.0,22.0,25.0,26.0,28.0,27.0,28.0,28.0,22.0,23.0,30.0,24.0,29.0,24.0,28.0,27.0,25.0,2.47
12,20.0,25.0,28.0,24.0,23.0,26.0,25.0,24.0,22.0,22.0,21.0,20.0,26.0,24.0,24.0,28.0,23.0,24.0,25.0,22.0,23.0,23.0,26.0,25.0,21.0,22.0,24.0,26.0,28.0,25.0,28.0,28.0,22.0,22.0,29.0,24.0,27.0,24.0,28.0,26.0,24.425,2.376
13,18.0,25.0,27.0,23.0,20.0,24.0,24.0,24.0,20.0,22.0,21.0,20.0,26.0,24.0,23.0,23.0,23.0,24.0,25.0,22.0,23.0,21.0,23.0,25.0,21.0,21.0,24.0,25.0,28.0,25.0,27.0,27.0,22.0,21.0,28.0,23.0,26.0,24.0,28.0,25.0,23.625,2.405
