Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,35.0,34.0,32.0,37.0,36.0,37.0,37.0,37.0,32.0,37.0,37.0,35.0,33.0,37.0,35.0,34.0,34.0,37.0,38.0,37.0,32.0,33.0,35.0,36.0,36.0,34.0,36.0,34.0,37.0,37.0,35.367,1.76
1,35.0,32.0,32.0,36.0,33.0,34.0,37.0,34.0,32.0,36.0,32.0,35.0,33.0,34.0,32.0,34.0,34.0,34.0,36.0,34.0,32.0,33.0,32.0,34.0,36.0,34.0,35.0,34.0,37.0,36.0,34.067,1.548
2,35.0,32.0,32.0,32.0,33.0,34.0,36.0,34.0,28.0,35.0,32.0,31.0,32.0,34.0,32.0,34.0,32.0,30.0,36.0,34.0,31.0,33.0,32.0,33.0,33.0,34.0,34.0,33.0,33.0,36.0,33.0,1.751
3,32.0,32.0,27.0,32.0,30.0,33.0,32.0,32.0,28.0,33.0,31.0,31.0,32.0,32.0,32.0,30.0,31.0,30.0,34.0,34.0,31.0,33.0,32.0,33.0,32.0,34.0,34.0,31.0,33.0,34.0,31.833,1.655
4,29.0,32.0,27.0,32.0,30.0,33.0,32.0,27.0,28.0,33.0,30.0,30.0,30.0,32.0,32.0,30.0,29.0,30.0,34.0,33.0,30.0,30.0,29.0,33.0,32.0,31.0,34.0,28.0,33.0,34.0,30.9,2.022
5,29.0,30.0,27.0,31.0,29.0,28.0,32.0,27.0,22.0,33.0,30.0,30.0,30.0,32.0,32.0,30.0,28.0,30.0,32.0,30.0,29.0,27.0,29.0,33.0,31.0,31.0,32.0,28.0,33.0,33.0,29.933,2.351
6,29.0,29.0,26.0,31.0,28.0,28.0,31.0,27.0,22.0,32.0,30.0,30.0,28.0,30.0,32.0,29.0,28.0,30.0,32.0,27.0,29.0,27.0,28.0,30.0,31.0,29.0,31.0,28.0,31.0,32.0,29.167,2.13
7,28.0,28.0,26.0,29.0,26.0,27.0,31.0,27.0,22.0,29.0,30.0,30.0,25.0,30.0,26.0,28.0,27.0,30.0,32.0,26.0,29.0,27.0,28.0,28.0,29.0,29.0,30.0,28.0,31.0,32.0,28.267,2.144
8,28.0,26.0,24.0,29.0,24.0,26.0,30.0,26.0,22.0,29.0,26.0,28.0,25.0,30.0,26.0,27.0,26.0,27.0,26.0,26.0,28.0,26.0,25.0,28.0,27.0,27.0,28.0,25.0,31.0,30.0,26.867,1.996
9,27.0,26.0,24.0,28.0,21.0,26.0,28.0,25.0,22.0,29.0,26.0,27.0,24.0,30.0,26.0,24.0,25.0,27.0,26.0,24.0,26.0,24.0,25.0,26.0,27.0,26.0,27.0,24.0,31.0,30.0,26.033,2.213
10,26.0,25.0,21.0,27.0,19.0,25.0,28.0,25.0,21.0,29.0,26.0,27.0,23.0,28.0,25.0,22.0,24.0,25.0,26.0,24.0,25.0,24.0,25.0,26.0,27.0,25.0,23.0,24.0,31.0,29.0,25.167,2.518
11,26.0,24.0,21.0,24.0,19.0,25.0,25.0,23.0,20.0,29.0,25.0,23.0,23.0,26.0,22.0,22.0,23.0,25.0,26.0,22.0,24.0,24.0,23.0,25.0,26.0,23.0,23.0,24.0,31.0,27.0,24.1,2.399
12,25.0,22.0,19.0,22.0,18.0,24.0,25.0,23.0,19.0,28.0,25.0,23.0,22.0,26.0,22.0,20.0,23.0,25.0,24.0,21.0,22.0,21.0,23.0,23.0,26.0,22.0,23.0,22.0,29.0,27.0,23.133,2.539
13,24.0,22.0,19.0,22.0,18.0,24.0,24.0,23.0,19.0,27.0,22.0,23.0,22.0,25.0,22.0,18.0,22.0,25.0,24.0,21.0,21.0,21.0,22.0,22.0,26.0,22.0,22.0,22.0,29.0,26.0,22.633,2.47
