Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,22.0,21.0,21.0,21.0,22.0,19.0,23.0,22.0,20.0,17.0,22.0,20.0,21.0,21.0,18.0,23.0,20.0,21.0,21.0,23.0,20.0,19.0,21.0,24.0,23.0,22.0,19.0,22.0,22.0,20.0,22.0,21.0,19.0,18.0,23.0,20.0,23.0,22.0,20.0,21.0,20.975,1.573
1,22.0,21.0,21.0,21.0,22.0,19.0,23.0,22.0,20.0,17.0,22.0,19.0,20.0,21.0,18.0,23.0,19.0,21.0,21.0,23.0,20.0,19.0,21.0,22.0,23.0,22.0,19.0,22.0,18.0,20.0,22.0,16.0,19.0,18.0,23.0,20.0,23.0,22.0,20.0,18.0,20.55,1.816
2,21.0,21.0,21.0,21.0,22.0,19.0,22.0,22.0,17.0,17.0,22.0,19.0,20.0,21.0,18.0,23.0,19.0,21.0,21.0,23.0,20.0,19.0,20.0,22.0,23.0,22.0,19.0,22.0,18.0,20.0,22.0,16.0,19.0,18.0,23.0,20.0,23.0,22.0,20.0,18.0,20.4,1.855
3,21.0,20.0,21.0,21.0,22.0,19.0,22.0,22.0,17.0,17.0,22.0,19.0,20.0,21.0,18.0,21.0,19.0,21.0,21.0,23.0,20.0,19.0,20.0,22.0,23.0,21.0,19.0,22.0,18.0,20.0,22.0,16.0,19.0,18.0,21.0,20.0,20.0,22.0,20.0,18.0,20.175,1.687
4,21.0,20.0,21.0,21.0,22.0,19.0,21.0,22.0,17.0,17.0,21.0,19.0,20.0,19.0,18.0,21.0,18.0,21.0,21.0,22.0,19.0,17.0,20.0,22.0,23.0,21.0,19.0,21.0,18.0,20.0,22.0,16.0,19.0,18.0,21.0,20.0,20.0,22.0,20.0,18.0,19.925,1.679
5,21.0,20.0,21.0,21.0,22.0,19.0,21.0,22.0,17.0,17.0,21.0,19.0,20.0,18.0,18.0,18.0,18.0,21.0,21.0,22.0,19.0,17.0,19.0,22.0,22.0,21.0,19.0,21.0,18.0,20.0,22.0,16.0,19.0,18.0,20.0,18.0,20.0,18.0,20.0,18.0,19.6,1.67
6,20.0,20.0,21.0,18.0,22.0,19.0,21.0,21.0,17.0,17.0,21.0,19.0,20.0,18.0,18.0,18.0,18.0,21.0,21.0,22.0,19.0,17.0,19.0,22.0,22.0,21.0,19.0,21.0,18.0,20.0,21.0,16.0,19.0,18.0,20.0,18.0,20.0,18.0,20.0,18.0,19.45,1.596
7,20.0,16.0,21.0,18.0,21.0,19.0,21.0,21.0,17.0,17.0,21.0,19.0,20.0,18.0,18.0,18.0,18.0,21.0,21.0,22.0,19.0,17.0,19.0,22.0,22.0,21.0,19.0,21.0,18.0,20.0,21.0,16.0,19.0,18.0,20.0,18.0,20.0,18.0,20.0,18.0,19.325,1.649
8,20.0,16.0,21.0,18.0,21.0,19.0,21.0,21.0,17.0,17.0,21.0,19.0,20.0,18.0,18.0,18.0,18.0,21.0,21.0,21.0,19.0,17.0,19.0,22.0,22.0,21.0,19.0,19.0,18.0,20.0,21.0,16.0,19.0,18.0,20.0,18.0,19.0,18.0,20.0,18.0,19.225,1.589
9,20.0,16.0,21.0,18.0,21.0,19.0,21.0,20.0,17.0,17.0,21.0,19.0,20.0,18.0,18.0,18.0,18.0,21.0,21.0,21.0,19.0,17.0,19.0,20.0,22.0,21.0,19.0,19.0,18.0,20.0,21.0,16.0,19.0,18.0,20.0,18.0,19.0,18.0,20.0,18.0,19.15,1.509
10,20.0,16.0,21.0,18.0,21.0,19.0,21.0,20.0,17.0,17.0,21.0,18.0,20.0,18.0,18.0,18.0,18.0,19.0,21.0,21.0,19.0,17.0,19.0,20.0,22.0,21.0,19.0,19.0,18.0,20.0,21.0,16.0,19.0,18.0,20.0,18.0,19.0,18.0,20.0,18.0,19.075,1.49
11,18.0,16.0,21.0,18.0,21.0,19.0,21.0,20.0,17.0,17.0,16.0,18.0,20.0,18.0,18.0,18.0,18.0,19.0,21.0,19.0,19.0,17.0,19.0,20.0,22.0,21.0,19.0,19.0,18.0,18.0,21.0,16.0,19.0,18.0,17.0,18.0,19.0,18.0,20.0,18.0,18.725,1.5
12,18.0,16.0,21.0,18.0,21.0,19.0,21.0,20.0,17.0,17.0,16.0,18.0,20.0,18.0,18.0,18.0,18.0,19.0,21.0,19.0,19.0,17.0,19.0,20.0,22.0,19.0,19.0,19.0,18.0,18.0,20.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,18.575,1.531
13,18.0,16.0,21.0,18.0,21.0,19.0,21.0,20.0,17.0,17.0,16.0,18.0,20.0,18.0,18.0,18.0,18.0,19.0,21.0,19.0,19.0,17.0,19.0,20.0,22.0,19.0,19.0,19.0,18.0,18.0,20.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,18.575,1.531
14,18.0,16.0,21.0,18.0,21.0,19.0,20.0,20.0,17.0,17.0,16.0,18.0,20.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,22.0,19.0,19.0,19.0,18.0,18.0,20.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,18.5,1.449
15,18.0,16.0,21.0,18.0,20.0,19.0,20.0,20.0,17.0,17.0,16.0,18.0,20.0,18.0,16.0,18.0,18.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,22.0,19.0,19.0,19.0,18.0,18.0,20.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,18.425,1.464
16,18.0,16.0,20.0,18.0,20.0,19.0,20.0,20.0,17.0,17.0,16.0,18.0,20.0,18.0,16.0,18.0,18.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,22.0,19.0,18.0,19.0,18.0,18.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,18.3,1.418
17,18.0,16.0,20.0,18.0,20.0,19.0,19.0,20.0,17.0,17.0,16.0,18.0,20.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,22.0,19.0,18.0,19.0,18.0,18.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,18.25,1.41
18,18.0,16.0,20.0,18.0,17.0,19.0,19.0,20.0,17.0,17.0,16.0,18.0,20.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,22.0,19.0,18.0,19.0,18.0,18.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,18.175,1.394
19,18.0,16.0,20.0,18.0,17.0,19.0,19.0,20.0,17.0,15.0,16.0,18.0,20.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,22.0,19.0,18.0,19.0,18.0,18.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,18.125,1.469
20,18.0,16.0,20.0,18.0,17.0,19.0,19.0,20.0,17.0,15.0,16.0,18.0,15.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,21.0,19.0,18.0,19.0,18.0,18.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,17.975,1.458
21,18.0,16.0,20.0,18.0,17.0,19.0,19.0,20.0,17.0,15.0,16.0,18.0,15.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,21.0,18.0,18.0,19.0,18.0,18.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,17.95,1.448
22,18.0,16.0,20.0,18.0,17.0,19.0,16.0,19.0,17.0,15.0,16.0,18.0,15.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,21.0,18.0,18.0,19.0,18.0,17.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,17.825,1.447
23,18.0,16.0,20.0,18.0,17.0,19.0,16.0,19.0,17.0,15.0,15.0,18.0,15.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,21.0,18.0,18.0,17.0,18.0,17.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,17.75,1.479
24,18.0,16.0,20.0,18.0,17.0,19.0,16.0,19.0,16.0,15.0,15.0,18.0,15.0,18.0,16.0,18.0,17.0,19.0,19.0,19.0,19.0,17.0,19.0,20.0,21.0,18.0,18.0,17.0,18.0,17.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,17.725,1.5
25,18.0,16.0,15.0,18.0,17.0,19.0,16.0,19.0,16.0,15.0,15.0,18.0,15.0,18.0,16.0,17.0,17.0,17.0,19.0,19.0,19.0,17.0,18.0,20.0,21.0,18.0,18.0,17.0,18.0,17.0,17.0,16.0,19.0,18.0,17.0,15.0,19.0,18.0,20.0,18.0,17.5,1.483
