Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
17,12.0,8.0,11.0,13.0,14.0,15.0,15.0,14.0,15.0,16.0,15.0,16.0,16.0,9.0,10.0,11.0,13.0,12.0,13.0,12.0,12.0,11.0,10.0,15.0,16.0,12.0,13.0,13.0,12.0,13.0,14.0,13.0,11.0,15.0,13.0,14.0,11.0,11.0,14.0,12.0,12.875,1.965
18,12.0,8.0,11.0,13.0,14.0,15.0,15.0,14.0,15.0,13.0,15.0,15.0,16.0,9.0,10.0,11.0,13.0,12.0,13.0,12.0,12.0,11.0,10.0,15.0,16.0,12.0,10.0,13.0,12.0,13.0,14.0,13.0,11.0,15.0,12.0,14.0,11.0,11.0,14.0,12.0,12.675,1.916
19,12.0,8.0,11.0,11.0,14.0,15.0,15.0,13.0,13.0,13.0,15.0,14.0,16.0,9.0,10.0,11.0,13.0,12.0,13.0,12.0,12.0,11.0,10.0,12.0,16.0,12.0,10.0,13.0,12.0,13.0,14.0,13.0,11.0,15.0,12.0,14.0,11.0,9.0,14.0,12.0,12.4,1.881
20,12.0,8.0,11.0,11.0,14.0,15.0,15.0,12.0,13.0,13.0,14.0,14.0,16.0,9.0,10.0,11.0,13.0,12.0,13.0,12.0,12.0,9.0,10.0,9.0,16.0,12.0,10.0,13.0,12.0,13.0,13.0,13.0,11.0,15.0,12.0,12.0,11.0,9.0,14.0,12.0,12.15,1.944
21,12.0,8.0,11.0,11.0,14.0,14.0,15.0,12.0,12.0,13.0,14.0,14.0,16.0,9.0,10.0,11.0,13.0,12.0,11.0,12.0,10.0,9.0,10.0,9.0,16.0,12.0,10.0,13.0,12.0,13.0,13.0,13.0,10.0,13.0,12.0,12.0,11.0,9.0,14.0,11.0,11.9,1.908
22,12.0,8.0,10.0,11.0,14.0,14.0,15.0,12.0,12.0,13.0,14.0,10.0,16.0,9.0,10.0,11.0,13.0,12.0,11.0,12.0,10.0,9.0,10.0,9.0,16.0,12.0,10.0,13.0,12.0,13.0,12.0,13.0,10.0,13.0,12.0,12.0,11.0,9.0,12.0,11.0,11.7,1.873
23,12.0,8.0,10.0,10.0,14.0,14.0,15.0,11.0,12.0,13.0,14.0,10.0,16.0,9.0,10.0,11.0,13.0,12.0,10.0,12.0,10.0,8.0,10.0,9.0,16.0,12.0,10.0,13.0,11.0,11.0,11.0,13.0,10.0,13.0,12.0,12.0,9.0,9.0,12.0,11.0,11.45,1.974
24,12.0,8.0,10.0,10.0,13.0,11.0,15.0,11.0,12.0,13.0,14.0,10.0,16.0,9.0,10.0,11.0,13.0,11.0,10.0,12.0,10.0,8.0,10.0,9.0,16.0,12.0,10.0,10.0,11.0,11.0,11.0,13.0,10.0,13.0,12.0,12.0,9.0,9.0,11.0,11.0,11.225,1.891
25,11.0,8.0,10.0,10.0,13.0,11.0,15.0,11.0,12.0,12.0,14.0,10.0,16.0,9.0,10.0,11.0,13.0,11.0,10.0,12.0,10.0,8.0,10.0,9.0,16.0,11.0,10.0,10.0,11.0,11.0,11.0,13.0,10.0,13.0,12.0,12.0,9.0,9.0,11.0,11.0,11.15,1.865
26,11.0,8.0,10.0,10.0,13.0,11.0,15.0,11.0,12.0,12.0,14.0,10.0,16.0,9.0,10.0,11.0,13.0,11.0,10.0,12.0,10.0,8.0,7.0,9.0,16.0,11.0,10.0,10.0,11.0,11.0,11.0,13.0,10.0,13.0,12.0,12.0,9.0,9.0,11.0,11.0,11.075,1.967
