Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,14.0,19.0,20.0,20.0,21.0,20.0,21.0,17.0,21.0,20.0,19.0,20.0,18.0,22.0,22.0,22.0,22.0,17.0,20.0,18.0,24.0,20.0,23.0,23.0,21.0,19.0,23.0,23.0,18.0,20.0,21.0,22.0,22.0,20.0,21.0,20.0,22.0,22.0,22.0,15.0,20.35,2.14
1,12.0,19.0,20.0,19.0,21.0,20.0,19.0,17.0,18.0,20.0,17.0,20.0,18.0,20.0,19.0,21.0,20.0,17.0,17.0,18.0,20.0,20.0,19.0,21.0,20.0,19.0,19.0,23.0,18.0,20.0,19.0,20.0,20.0,18.0,21.0,20.0,22.0,22.0,22.0,15.0,19.25,1.972
2,12.0,19.0,20.0,19.0,21.0,19.0,17.0,17.0,18.0,20.0,17.0,19.0,18.0,20.0,19.0,21.0,18.0,15.0,15.0,18.0,20.0,20.0,19.0,21.0,20.0,19.0,17.0,21.0,17.0,18.0,19.0,19.0,20.0,18.0,19.0,19.0,22.0,20.0,21.0,14.0,18.625,2.021
3,12.0,19.0,16.0,17.0,21.0,18.0,17.0,15.0,18.0,19.0,15.0,19.0,18.0,20.0,19.0,18.0,18.0,15.0,15.0,18.0,20.0,20.0,17.0,20.0,20.0,17.0,17.0,21.0,17.0,18.0,19.0,19.0,18.0,17.0,19.0,19.0,18.0,19.0,21.0,14.0,17.925,1.967
4,12.0,15.0,16.0,17.0,20.0,16.0,14.0,15.0,16.0,17.0,15.0,17.0,18.0,17.0,16.0,17.0,18.0,15.0,15.0,18.0,12.0,17.0,17.0,18.0,20.0,17.0,17.0,19.0,17.0,16.0,19.0,18.0,18.0,17.0,18.0,17.0,18.0,18.0,19.0,14.0,16.75,1.799
5,12.0,15.0,16.0,17.0,18.0,16.0,14.0,15.0,16.0,17.0,14.0,17.0,17.0,17.0,16.0,17.0,18.0,14.0,15.0,16.0,12.0,17.0,17.0,18.0,20.0,17.0,16.0,17.0,14.0,16.0,19.0,18.0,18.0,16.0,17.0,17.0,18.0,18.0,16.0,14.0,16.3,1.706
6,12.0,15.0,16.0,17.0,18.0,16.0,14.0,15.0,16.0,17.0,14.0,17.0,16.0,17.0,16.0,17.0,15.0,14.0,15.0,16.0,12.0,17.0,17.0,18.0,19.0,17.0,16.0,17.0,14.0,16.0,17.0,16.0,18.0,14.0,17.0,17.0,18.0,17.0,16.0,14.0,16.0,1.565
7,12.0,13.0,16.0,17.0,16.0,13.0,14.0,15.0,16.0,17.0,14.0,17.0,16.0,17.0,16.0,16.0,15.0,14.0,15.0,16.0,12.0,17.0,17.0,17.0,19.0,17.0,16.0,17.0,14.0,16.0,17.0,16.0,17.0,14.0,16.0,17.0,18.0,17.0,16.0,14.0,15.725,1.581
8,11.0,13.0,16.0,17.0,16.0,13.0,14.0,15.0,16.0,17.0,14.0,17.0,16.0,17.0,16.0,16.0,15.0,14.0,15.0,16.0,12.0,17.0,17.0,16.0,19.0,17.0,16.0,17.0,14.0,16.0,17.0,16.0,17.0,14.0,16.0,17.0,18.0,17.0,16.0,14.0,15.675,1.634
9,10.0,13.0,16.0,16.0,14.0,13.0,14.0,15.0,16.0,17.0,14.0,17.0,16.0,17.0,16.0,16.0,15.0,14.0,15.0,16.0,12.0,17.0,17.0,16.0,19.0,15.0,16.0,14.0,14.0,16.0,16.0,16.0,17.0,14.0,16.0,16.0,18.0,17.0,16.0,14.0,15.4,1.67
10,10.0,13.0,16.0,15.0,14.0,13.0,14.0,15.0,16.0,17.0,14.0,17.0,16.0,17.0,16.0,14.0,15.0,14.0,15.0,16.0,12.0,17.0,17.0,16.0,19.0,15.0,16.0,14.0,14.0,16.0,16.0,16.0,17.0,14.0,16.0,16.0,18.0,17.0,16.0,14.0,15.325,1.679
11,10.0,13.0,16.0,15.0,14.0,13.0,14.0,15.0,16.0,12.0,14.0,17.0,16.0,17.0,16.0,14.0,15.0,14.0,15.0,16.0,12.0,17.0,17.0,16.0,19.0,15.0,16.0,14.0,14.0,16.0,16.0,16.0,17.0,14.0,16.0,16.0,18.0,16.0,16.0,14.0,15.175,1.716
12,10.0,13.0,16.0,15.0,14.0,13.0,14.0,15.0,16.0,12.0,14.0,17.0,16.0,17.0,16.0,14.0,15.0,14.0,15.0,16.0,12.0,16.0,17.0,16.0,19.0,15.0,16.0,14.0,14.0,16.0,16.0,16.0,17.0,14.0,15.0,16.0,18.0,16.0,16.0,14.0,15.125,1.691
13,10.0,13.0,16.0,15.0,14.0,13.0,14.0,15.0,16.0,12.0,14.0,17.0,16.0,17.0,16.0,14.0,15.0,14.0,15.0,16.0,12.0,16.0,17.0,16.0,19.0,15.0,16.0,14.0,14.0,16.0,16.0,16.0,17.0,14.0,15.0,16.0,18.0,16.0,16.0,14.0,15.125,1.691
